科目,2024年,2023年,2022年,2023-2024变动额,2023-2024变动率,2022-2023变动额,2022-2023变动率
营业总收入,7306736059.0,8222311849.0,8249249565.0,-915575790.0,-11.14,-26937716.0,-0.33
营业收入,7306736059.0,8222311849.0,8249249565.0,-915575790.0,-11.14,-26937716.0,-0.33
营业总成本,6497688561.0,7360200003.0,7492808898.0,-862511442.0,-11.72,-132608895.0,-1.77
营业成本,3786015011.0,4604083396.0,4955591873.0,-818068385.0,-17.77,-351508477.0,-7.09
营业税金及附加,75806196.37,79045915.84,76690353.84,-3239719.469999999,-4.1,2355562.0,3.07
销售费用,1999975497.0,2126434793.0,1969265428.0,-126459296.0,-5.95,157169365.0,7.98
管理费用,458549953.3,381630958.5,377887914.1,76918994.80000001,20.16,3743044.399999976,0.99
财务费用,149636701.21,156237201.15,39773179.82,-6600499.939999998,-4.22,116464021.33000001,292.82
研发费用,162378232.6,184628659.3,153146508.4,-22250426.700000018,-12.05,31482150.900000006,20.56
资产减值损失,,,,,,,
公允价值变动收益,,,,,,,
投资收益,190778738.0,308107217.2,274220357.7,-117328479.19999999,-38.08,33886859.5,12.36
其中对联营企业和合营企业的投资收益,168208229.4,294576721.6,196612956.7,-126368492.20000002,-42.9,97963764.90000004,49.83
汇兑收益,,,,,,,
营业利润,256672496.0,109697538.3,980049636.1,146974957.7,133.98,-870352097.8000001,-88.81
加营业外收入,16466821.4,3084359.36,2914270.05,13382462.040000001,433.88,170089.31000000006,5.84
减营业外支出,4410440.92,4696137.6,2775470.2,-285696.6799999997,-6.08,1920667.3999999994,69.2
其中非流动资产处置损失,,,,,,,
利润总额,257872876.0,109536360.4,980188435.9,148336515.6,135.42,-870652075.5,-88.82
减所得税费用,363564397.3,126658065.5,106930706.5,236906331.8,187.04,19727359.0,18.45
净利润,221521479.0,96870553.8,873257729.5,124650925.2,128.68,-776387175.7,-88.91
归属于母公司所有者的净利润,222933423.6,986707377.8,861793906.8,-763773954.1999999,-77.41,124913471.0,14.49
少数股东损益,-14115757.4,-18001839.02,11463822.62,3886081.619999999,-21.59,-29465661.64,-257.03
每股收益基本,2.9,1.28,1.12,1.6199999999999999,126.56,0.15999999999999992,14.29
稀释每股收益,2.89,1.28,1.11,1.61,125.78,0.16999999999999993,15.32
其他综合收益,-7406085.7,4806092.95,-1088331.32,-12212178.65,-254.1,5894424.2700000005,-541.6
综合收益总额,220781239.3,973511631.8,872169398.1,-752730392.5,-77.32,101342233.69999993,11.62
归属于母公司所有者的综合收益总额,222192815.0,991513470.8,860705575.5,-769320655.8,-77.59,130807895.29999995,15.2
归属于少数股东的综合收益总额,-14115757.4,-18001839.02,11463822.62,3886081.619999999,-21.59,-29465661.64,-257.03
